date,team,Starter_MP,Starter_FG,Starter_FGA,Starter_FG_PCT,Starter_FG3,Starter_FG3A,Starter_FG3_PCT,Starter_FT,Starter_FTA,Starter_FT_PCT,Starter_ORB,Starter_DRB,Starter_TRB,Starter_AST,Starter_STL,Starter_BLK,Starter_TOV,Starter_PF,Starter_PTS,Starter_PLUS_MINUS
2018-10-16T20:00:00,Boston Celtics,28.059999999999995,4.8,12.6,0.3922,0.8,4.0,0.19820000000000002,1.8,2.4,0.76,1.4,4.0,5.4,2.8,1.0,0.8,1.8,1.8,12.2,9.0
2018-10-16T20:00:00,Philadelphia 76ers,32.12666666666667,4.8,12.0,0.378,0.6,3.0,0.1072,2.0,3.4,0.36,1.2,6.8,8.0,2.6,1.6,1.0,3.2,3.0,12.2,-9.4
2018-10-16T22:30:00,Golden State Warriors,33.55,6.4,14.8,0.4506,1.2,4.6,0.13620000000000002,3.4,3.6,0.58,1.0,6.2,7.2,4.4,1.0,0.8,3.2,3.6,17.4,6.4
2018-10-16T22:30:00,Oklahoma City Thunder,30.500000000000007,4.8,13.0,0.29619999999999996,1.4,4.8,0.1832,3.4,5.0,0.55,2.2,3.8,6.0,3.2,2.0,0.4,2.4,2.6,14.4,-5.2
2018-10-17T19:00:00,Brooklyn Nets,32.33,5.0,11.2,0.3836,0.8,4.0,0.21200000000000002,2.4,3.2,0.525,1.0,4.0,5.0,3.4,1.2,1.0,1.8,2.8,13.2,-7.6
2018-10-17T19:00:00,Charlotte Hornets,27.45,4.8,11.2,0.48339999999999994,2.4,5.6,0.491,1.2,1.8,0.36,1.0,3.6,4.6,2.0,1.2,1.2,1.2,1.6,13.2,-5.2
2018-10-17T19:00:00,Detroit Pistons,28.060000000000002,5.6,13.2,0.37939999999999996,1.0,3.2,0.5109999999999999,3.0,3.6,0.5136000000000001,2.4,4.8,7.2,2.6,0.2,0.6,1.8,2.2,15.2,1.4
2018-10-17T19:00:00,Indiana Pacers,24.4,4.4,8.0,0.5074,1.2,2.2,0.3,0.6,1.0,0.3,1.2,4.4,5.6,2.8,0.0,1.0,2.6,2.4,10.6,9.2
2018-10-17T19:00:00,Memphis Grizzlies,26.026666666666664,3.2,10.2,0.3334,1.8,4.6,0.41340000000000005,2.0,2.2,0.375,0.8,2.4,3.2,2.0,1.4,0.4,0.6,2.0,10.2,-14.6
2018-10-17T19:00:00,Miami Heat,30.5,5.4,12.8,0.40920000000000006,1.6,5.0,0.3058,2.0,2.8,0.47620000000000007,1.2,5.2,6.4,2.4,0.4,1.0,2.0,3.8,14.4,5.4
2018-10-17T19:00:00,Milwaukee Bucks,32.126666666666665,6.2,12.8,0.49639999999999995,2.0,5.0,0.3666,2.6,3.6,0.5166000000000001,1.2,6.2,7.4,4.4,0.8,0.6,3.6,3.6,17.0,5.2
2018-10-17T19:00:00,Orlando Magic,26.23,4.8,11.8,0.41319999999999996,1.2,2.6,0.45999999999999996,2.8,4.2,0.6933999999999999,1.6,5.0,6.6,2.8,0.6,0.0,2.0,2.8,13.6,-7.4
2018-10-17T19:30:00,Atlanta Hawks,28.263333333333332,5.0,11.2,0.45359999999999995,1.6,5.2,0.259,2.0,2.4,0.65,0.8,4.0,4.8,2.6,0.4,0.4,3.4,4.0,13.6,-10.0
2018-10-17T19:30:00,Cleveland Cavaliers,30.703333333333337,4.2,11.4,0.36360000000000003,1.0,2.2,0.3834,4.2,5.6,0.7594000000000001,2.4,4.4,6.8,3.0,0.6,0.0,2.2,2.8,13.6,-13.2
2018-10-17T19:30:00,New York Knicks,25.009999999999998,4.8,10.2,0.46840000000000004,1.4,3.0,0.5,3.0,3.4,0.47140000000000004,1.0,4.0,5.0,2.6,1.2,0.6,1.0,2.2,14.0,9.2
2018-10-17T19:30:00,Toronto Raptors,29.076666666666664,6.4,11.8,0.5622,2.0,3.8,0.519,1.4,1.8,0.3,0.8,5.6,6.4,3.0,0.6,0.8,1.0,2.2,16.2,12.8
2018-10-17T20:00:00,Houston Rockets,30.5,5.0,10.8,0.4636,2.4,5.4,0.355,2.0,2.6,0.45999999999999996,1.2,3.8,5.0,3.6,1.4,0.6,1.2,2.8,14.4,-14.8
2018-10-17T20:00:00,New Orleans Pelicans,35.58333333333333,8.4,15.6,0.5276,1.4,3.8,0.2166,2.4,3.2,0.5048,2.4,6.0,8.4,6.2,1.4,0.6,1.6,3.4,20.6,23.2
2018-10-17T20:30:00,Minnesota Timberwolves,29.889999999999997,6.0,12.6,0.517,1.2,3.0,0.35,3.6,3.8,0.76,1.4,5.4,6.8,2.6,1.4,0.2,1.8,3.6,16.8,-3.2
2018-10-17T20:30:00,San Antonio Spurs,28.263333333333332,6.2,14.0,0.4694,0.6,2.0,0.3066,3.4,5.0,0.5672,3.2,4.2,7.4,2.0,0.6,0.8,1.6,3.2,16.4,3.8
2018-10-17T22:00:00,Sacramento Kings,33.14333333333333,7.6,13.6,0.5526,1.0,2.2,0.3834,2.4,3.6,0.44279999999999997,0.8,4.4,5.2,3.0,1.2,0.6,1.6,3.4,18.6,13.2
2018-10-17T22:00:00,Utah Jazz,30.906666666666666,6.2,10.8,0.5568000000000001,1.4,3.2,0.19340000000000002,3.0,4.0,0.6666000000000001,0.8,5.2,6.0,2.6,1.4,0.8,3.0,3.0,16.8,-7.6
2018-10-17T22:30:00,Dallas Mavericks,30.906666666666666,4.8,12.2,0.4312,1.0,4.2,0.18719999999999998,1.6,2.2,0.5666,1.6,3.8,5.4,3.2,1.0,0.8,1.4,2.4,12.2,-17.8
2018-10-17T22:30:00,Denver Nuggets,32.94,4.4,12.0,0.346,1.0,3.4,0.22000000000000003,5.8,6.8,0.71,2.0,5.4,7.4,2.4,0.6,1.0,1.4,2.6,15.6,14.2
2018-10-17T22:30:00,Los Angeles Clippers,27.856666666666666,3.6,10.0,0.3638,1.2,4.0,0.1808,1.4,1.6,0.3666,1.0,5.0,6.0,2.0,0.2,1.2,1.2,4.0,9.8,-3.8
2018-10-17T22:30:00,Phoenix Suns,33.14333333333333,6.2,11.2,0.4984,2.6,5.0,0.31120000000000003,1.8,2.0,0.5666,0.8,6.2,7.0,6.0,0.4,0.2,1.0,2.4,16.8,18.6
