date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
2018-10-16T20:00:00,Philadelphia 76ers Basic and Advanced Stats Table,Ben Simmons,Starter,42.7,7,14,0.5,0,0,,5,10,0.5,3,12,15,8,4,2,3,5,19,-8.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Brad Wanamaker,Reserve,0.0,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Guerschon Yabusele,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Semi Ojeleye,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,2.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Daniel Theis,Reserve,4.066666666666666,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,3.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Aron Baynes,Reserve,19.316666666666663,3,7,0.429,2,4,0.5,0,0,,3,1,4,3,0,0,1,3,8,8.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Marcus Morris,Reserve,20.33333333333333,7,12,0.583,2,7,0.286,0,0,,2,8,10,0,2,0,1,5,16,3.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Marcus Smart,Reserve,25.416666666666668,2,4,0.5,2,4,0.5,1,2,0.5,0,3,3,3,0,0,2,2,7,3.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Gordon Hayward,Starter,24.4,4,12,0.333,1,3,0.333,1,2,0.5,2,3,5,0,4,0,0,1,10,10.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Jaylen Brown,Starter,28.466666666666665,5,13,0.385,1,3,0.333,1,2,0.5,3,2,5,2,0,0,2,4,12,11.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Jayson Tatum,Starter,28.466666666666665,9,17,0.529,1,5,0.2,4,5,0.8,2,7,9,3,1,0,1,2,23,6.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Kyrie Irving,Starter,29.48333333333333,2,14,0.143,1,8,0.125,2,2,1.0,0,4,4,7,0,0,3,1,7,9.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Terry Rozier,Reserve,26.433333333333334,5,10,0.5,1,2,0.5,0,0,,0,8,8,1,0,1,1,0,11,22.0
2018-10-16T20:00:00,Philadelphia 76ers Basic and Advanced Stats Table,Furkan Korkmaz,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0
2018-10-16T20:00:00,Boston Celtics Basic and Advanced Stats Table,Al Horford,Starter,29.48333333333333,4,7,0.571,0,1,0.0,1,1,1.0,0,4,4,2,0,4,3,1,9,9.0
2018-10-16T20:00:00,Philadelphia 76ers Basic and Advanced Stats Table,Robert Covington,Starter,34.56666666666667,3,10,0.3,2,7,0.286,0,0,,1,5,6,0,2,1,2,1,8,-9.0
2018-10-16T20:00:00,Philadelphia 76ers Basic and Advanced Stats Table,Markelle Fultz,Starter,24.4,2,7,0.286,0,0,,1,2,0.5,0,3,3,2,1,0,3,1,5,-16.0
2018-10-16T20:00:00,Philadelphia 76ers Basic and Advanced Stats Table,Dario Šarić,Starter,22.366666666666667,3,8,0.375,0,4,0.0,0,0,,0,6,6,1,0,0,3,5,6,-6.0
2018-10-16T20:00:00,Philadelphia 76ers Basic and Advanced Stats Table,J.J. Redick,Reserve,29.48333333333333,7,17,0.412,2,8,0.25,0,0,,0,2,2,1,0,0,0,1,16,-10.0
2018-10-16T20:00:00,Philadelphia 76ers Basic and Advanced Stats Table,Joel Embiid,Starter,36.6,9,21,0.429,1,4,0.25,4,5,0.8,2,8,10,2,1,2,5,3,23,-8.0
2018-10-16T20:00:00,Philadelphia 76ers Basic and Advanced Stats Table,Landry Shamet,Reserve,12.2,0,4,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,-8.0
2018-10-16T20:00:00,Philadelphia 76ers Basic and Advanced Stats Table,Amir Johnson,Reserve,11.183333333333334,1,1,1.0,0,0,,3,4,0.75,0,3,3,1,0,0,0,1,5,-10.0
2018-10-16T20:00:00,Philadelphia 76ers Basic and Advanced Stats Table,Jonah Bolden,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0
