date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
2023-10-24T19:30:00,Tuesday,Denver Nuggets,119.0,Los Angeles Lakers,107.0,19842.0,,
2023-10-24T22:00:00,Tuesday,Golden State Warriors,104.0,Phoenix Suns,108.0,19842.0,,
2023-10-25T19:00:00,Wednesday,Orlando Magic,116.0,Houston Rockets,86.0,19842.0,,
2023-10-25T19:00:00,Wednesday,New York Knicks,104.0,Boston Celtics,108.0,19842.0,,
2023-10-25T19:00:00,Wednesday,Indiana Pacers,143.0,Washington Wizards,120.0,19842.0,,
2023-10-25T19:00:00,Wednesday,Charlotte Hornets,116.0,Atlanta Hawks,110.0,19842.0,,
2023-10-25T19:30:00,Wednesday,Miami Heat,103.0,Detroit Pistons,102.0,19842.0,,
2023-10-25T19:30:00,Wednesday,Toronto Raptors,97.0,Minnesota Timberwolves,94.0,19842.0,,
2023-10-25T19:30:00,Wednesday,Brooklyn Nets,113.0,Cleveland Cavaliers,114.0,19842.0,,
2023-10-25T20:00:00,Wednesday,Memphis Grizzlies,104.0,New Orleans Pelicans,111.0,19842.0,,
2023-10-25T20:00:00,Wednesday,Chicago Bulls,104.0,Oklahoma City Thunder,124.0,19842.0,,
2023-10-25T21:00:00,Wednesday,Utah Jazz,114.0,Sacramento Kings,130.0,19842.0,,
2023-10-25T21:30:00,Wednesday,San Antonio Spurs,119.0,Dallas Mavericks,126.0,19842.0,,
2023-10-25T22:30:00,Wednesday,Los Angeles Clippers,123.0,Portland Trail Blazers,111.0,19842.0,,
2023-10-26T19:30:00,Thursday,Milwaukee Bucks,118.0,Philadelphia 76ers,117.0,19842.0,,
2023-10-26T22:00:00,Thursday,Los Angeles Lakers,100.0,Phoenix Suns,95.0,19842.0,,
2023-10-27T19:00:00,Friday,Charlotte Hornets,99.0,Detroit Pistons,111.0,19842.0,,
2023-10-27T19:00:00,Friday,Memphis Grizzlies,104.0,Denver Nuggets,108.0,19842.0,,
2023-10-27T19:30:00,Friday,Atlanta Hawks,120.0,New York Knicks,126.0,19842.0,,
2023-10-27T19:30:00,Friday,Cleveland Cavaliers,105.0,Oklahoma City Thunder,108.0,19842.0,,
2023-10-27T19:30:00,Friday,Boston Celtics,119.0,Miami Heat,111.0,19842.0,,
2023-10-27T20:00:00,Friday,Chicago Bulls,104.0,Toronto Raptors,103.0,19842.0,OT,
2023-10-27T20:00:00,Friday,San Antonio Spurs,126.0,Houston Rockets,122.0,19842.0,OT,
2023-10-27T20:30:00,Friday,Dallas Mavericks,125.0,Brooklyn Nets,120.0,19842.0,,
2023-10-27T21:30:00,Friday,Utah Jazz,120.0,Los Angeles Clippers,118.0,19842.0,,
2023-10-27T22:00:00,Friday,Portland Trail Blazers,97.0,Orlando Magic,102.0,19842.0,,
2023-10-27T22:00:00,Friday,Sacramento Kings,114.0,Golden State Warriors,122.0,19842.0,,
2023-10-28T19:00:00,Saturday,Detroit Pistons,118.0,Chicago Bulls,102.0,19842.0,,
2023-10-28T19:00:00,Saturday,Washington Wizards,113.0,Memphis Grizzlies,106.0,19842.0,,
2023-10-28T19:00:00,Saturday,New Orleans Pelicans,96.0,New York Knicks,87.0,19842.0,,
2023-10-28T19:30:00,Saturday,Cleveland Cavaliers,113.0,Indiana Pacers,125.0,19842.0,,
2023-10-28T19:30:00,Saturday,Toronto Raptors,107.0,Philadelphia 76ers,114.0,19842.0,,
2023-10-28T20:00:00,Saturday,Minnesota Timberwolves,106.0,Miami Heat,90.0,19842.0,,
2023-10-28T22:00:00,Saturday,Phoenix Suns,126.0,Utah Jazz,104.0,19842.0,,
2023-10-29T15:30:00,Sunday,Oklahoma City Thunder,95.0,Denver Nuggets,128.0,19842.0,,
2023-10-29T19:00:00,Sunday,Milwaukee Bucks,110.0,Atlanta Hawks,127.0,19842.0,,
2023-10-29T19:00:00,Sunday,Houston Rockets,95.0,Golden State Warriors,106.0,19842.0,,
2023-10-29T19:30:00,Sunday,Philadelphia 76ers,126.0,Portland Trail Blazers,98.0,19842.0,,
2023-10-29T21:00:00,Sunday,Los Angeles Clippers,123.0,San Antonio Spurs,83.0,19842.0,,
2023-10-29T21:00:00,Sunday,Sacramento Kings,132.0,Los Angeles Lakers,127.0,19842.0,OT,
2023-10-30T19:00:00,Monday,Indiana Pacers,105.0,Chicago Bulls,112.0,19842.0,,
2023-10-30T19:00:00,Monday,Washington Wizards,107.0,Boston Celtics,126.0,19842.0,,
2023-10-30T19:00:00,Monday,Charlotte Hornets,121.0,Brooklyn Nets,133.0,19842.0,,
2023-10-30T19:30:00,Monday,Toronto Raptors,91.0,Portland Trail Blazers,99.0,19842.0,,
2023-10-30T19:30:00,Monday,Atlanta Hawks,127.0,Minnesota Timberwolves,113.0,19842.0,,
2023-10-30T20:00:00,Monday,Oklahoma City Thunder,124.0,Detroit Pistons,112.0,19842.0,,
2023-10-30T20:00:00,Monday,New Orleans Pelicans,102.0,Golden State Warriors,130.0,19842.0,,
2023-10-30T20:00:00,Monday,Memphis Grizzlies,110.0,Dallas Mavericks,125.0,19842.0,,
2023-10-30T20:00:00,Monday,Milwaukee Bucks,122.0,Miami Heat,114.0,19842.0,,
2023-10-30T21:00:00,Monday,Denver Nuggets,110.0,Utah Jazz,102.0,19842.0,,
2023-10-30T22:30:00,Monday,Los Angeles Lakers,106.0,Orlando Magic,103.0,19842.0,,
2023-10-31T19:30:00,Tuesday,Cleveland Cavaliers,91.0,New York Knicks,109.0,19842.0,,
2023-10-31T22:00:00,Tuesday,Phoenix Suns,114.0,San Antonio Spurs,115.0,19842.0,,
2023-10-31T22:30:00,Tuesday,Los Angeles Clippers,118.0,Orlando Magic,102.0,19842.0,,
2023-11-01T19:00:00,Wednesday,Toronto Raptors,130.0,Milwaukee Bucks,111.0,16912.0,,
2023-11-01T19:00:00,Wednesday,Detroit Pistons,101.0,Portland Trail Blazers,110.0,16912.0,,
2023-11-01T19:30:00,Wednesday,Atlanta Hawks,130.0,Washington Wizards,121.0,16912.0,,
2023-11-01T19:30:00,Wednesday,Boston Celtics,155.0,Indiana Pacers,104.0,16912.0,,
2023-11-01T19:30:00,Wednesday,Miami Heat,105.0,Brooklyn Nets,109.0,16912.0,,
2023-11-01T19:30:00,Wednesday,New York Knicks,89.0,Cleveland Cavaliers,95.0,16912.0,,
2023-11-01T19:30:00,Wednesday,Oklahoma City Thunder,106.0,New Orleans Pelicans,110.0,16912.0,,
2023-11-01T20:00:00,Wednesday,Houston Rockets,128.0,Charlotte Hornets,119.0,16912.0,,
2023-11-01T20:00:00,Wednesday,Minnesota Timberwolves,110.0,Denver Nuggets,89.0,16912.0,,
2023-11-01T20:30:00,Wednesday,Dallas Mavericks,114.0,Chicago Bulls,105.0,16912.0,,
2023-11-01T21:00:00,Wednesday,Utah Jazz,133.0,Memphis Grizzlies,109.0,16912.0,,
2023-11-01T22:00:00,Wednesday,Golden State Warriors,102.0,Sacramento Kings,101.0,16912.0,,
2023-11-01T22:00:00,Wednesday,Los Angeles Lakers,130.0,Los Angeles Clippers,125.0,16912.0,OT,
2023-11-02T19:00:00,Thursday,Philadelphia 76ers,114.0,Toronto Raptors,99.0,16912.0,,
2023-11-02T20:00:00,Thursday,New Orleans Pelicans,125.0,Detroit Pistons,116.0,16912.0,,
2023-11-02T21:00:00,Thursday,Utah Jazz,113.0,Orlando Magic,115.0,16912.0,,
2023-11-02T22:00:00,Thursday,Phoenix Suns,121.0,San Antonio Spurs,132.0,16912.0,,
2023-11-03T19:00:00,Friday,Indiana Pacers,121.0,Cleveland Cavaliers,116.0,16912.0,,In-Season Tournament
2023-11-03T19:30:00,Friday,Milwaukee Bucks,110.0,New York Knicks,105.0,16912.0,,In-Season Tournament
2023-11-03T20:00:00,Friday,Miami Heat,121.0,Washington Wizards,114.0,16912.0,,In-Season Tournament
2023-11-03T20:00:00,Friday,Oklahoma City Thunder,139.0,Golden State Warriors,141.0,16912.0,,In-Season Tournament
2023-11-03T20:00:00,Friday,Chicago Bulls,107.0,Brooklyn Nets,109.0,16912.0,,In-Season Tournament
2023-11-03T22:00:00,Friday,Denver Nuggets,125.0,Dallas Mavericks,114.0,16912.0,,In-Season Tournament
2023-11-03T22:00:00,Friday,Portland Trail Blazers,115.0,Memphis Grizzlies,113.0,16912.0,OT,In-Season Tournament
2023-11-04T13:00:00,Saturday,Philadelphia 76ers,112.0,Phoenix Suns,100.0,16912.0,,
2023-11-04T19:00:00,Saturday,Indiana Pacers,124.0,Charlotte Hornets,125.0,16912.0,,
2023-11-04T19:00:00,Saturday,New Orleans Pelicans,105.0,Atlanta Hawks,123.0,16912.0,,
2023-11-04T19:00:00,Saturday,Orlando Magic,120.0,Los Angeles Lakers,101.0,16912.0,,
2023-11-04T20:00:00,Saturday,Minnesota Timberwolves,123.0,Utah Jazz,95.0,16912.0,,
2023-11-04T20:00:00,Saturday,Houston Rockets,107.0,Sacramento Kings,89.0,16912.0,,
2023-11-04T20:00:00,Saturday,Brooklyn Nets,114.0,Boston Celtics,124.0,16912.0,,
2023-11-04T21:00:00,Saturday,Denver Nuggets,123.0,Chicago Bulls,101.0,16912.0,,
2023-11-05T15:00:00,Sunday,Detroit Pistons,106.0,Phoenix Suns,120.0,16912.0,,
