date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
2019-10-22T20:00:00,Tuesday,Toronto Raptors,130,New Orleans Pelicans,122,20787.0,OT,
2019-10-22T22:30:00,Tuesday,Los Angeles Clippers,112,Los Angeles Lakers,102,20787.0,,
2019-10-23T19:00:00,Wednesday,Charlotte Hornets,126,Chicago Bulls,125,20787.0,,
2019-10-23T19:00:00,Wednesday,Indiana Pacers,110,Detroit Pistons,119,20787.0,,
2019-10-23T19:00:00,Wednesday,Orlando Magic,94,Cleveland Cavaliers,85,20787.0,,
2019-10-23T19:30:00,Wednesday,Brooklyn Nets,126,Minnesota Timberwolves,127,20787.0,OT,
2019-10-23T19:30:00,Wednesday,Miami Heat,120,Memphis Grizzlies,101,20787.0,,
2019-10-23T19:30:00,Wednesday,Philadelphia 76ers,107,Boston Celtics,93,20787.0,,
2019-10-23T20:30:00,Wednesday,San Antonio Spurs,120,New York Knicks,111,20787.0,,
2019-10-23T20:30:00,Wednesday,Dallas Mavericks,108,Washington Wizards,100,20787.0,,
2019-10-23T21:00:00,Wednesday,Utah Jazz,100,Oklahoma City Thunder,95,20787.0,,
2019-10-23T22:00:00,Wednesday,Phoenix Suns,124,Sacramento Kings,95,20787.0,,
2019-10-23T22:00:00,Wednesday,Portland Trail Blazers,100,Denver Nuggets,108,20787.0,,
2019-10-24T19:00:00,Thursday,Detroit Pistons,100,Atlanta Hawks,117,20787.0,,
2019-10-24T20:00:00,Thursday,Houston Rockets,111,Milwaukee Bucks,117,20787.0,,
2019-10-24T22:30:00,Thursday,Golden State Warriors,122,Los Angeles Clippers,141,20787.0,,
2019-10-25T19:00:00,Friday,Charlotte Hornets,99,Minnesota Timberwolves,121,20787.0,,
2019-10-25T19:00:00,Friday,Boston Celtics,112,Toronto Raptors,106,20787.0,,
2019-10-25T19:30:00,Friday,Brooklyn Nets,113,New York Knicks,109,20787.0,,
2019-10-25T20:00:00,Friday,Memphis Grizzlies,102,Chicago Bulls,110,20787.0,,
2019-10-25T20:00:00,Friday,New Orleans Pelicans,116,Dallas Mavericks,123,20787.0,,
2019-10-25T20:00:00,Friday,Oklahoma City Thunder,85,Washington Wizards,97,20787.0,,
2019-10-25T21:00:00,Friday,Denver Nuggets,108,Phoenix Suns,107,20787.0,OT,
2019-10-25T22:00:00,Friday,Sacramento Kings,112,Portland Trail Blazers,122,20787.0,,
2019-10-25T22:30:00,Friday,Los Angeles Lakers,95,Utah Jazz,86,20787.0,,
2019-10-26T17:00:00,Saturday,Milwaukee Bucks,126,Miami Heat,131,20787.0,OT,
2019-10-26T19:00:00,Saturday,Detroit Pistons,111,Philadelphia 76ers,117,20787.0,,
2019-10-26T19:30:00,Saturday,Atlanta Hawks,103,Orlando Magic,99,20787.0,,
2019-10-26T19:30:00,Saturday,New York Knicks,95,Boston Celtics,118,20787.0,,
2019-10-26T20:00:00,Saturday,Chicago Bulls,84,Toronto Raptors,108,20787.0,,
2019-10-26T20:00:00,Saturday,Cleveland Cavaliers,110,Indiana Pacers,99,20787.0,,
2019-10-26T20:00:00,Saturday,Houston Rockets,126,New Orleans Pelicans,123,20787.0,,
2019-10-26T20:30:00,Saturday,San Antonio Spurs,124,Washington Wizards,122,20787.0,,
2019-10-26T21:00:00,Saturday,Utah Jazz,113,Sacramento Kings,81,20787.0,,
2019-10-26T22:00:00,Saturday,Phoenix Suns,130,Los Angeles Clippers,122,20787.0,,
2019-10-27T15:30:00,Sunday,Oklahoma City Thunder,120,Golden State Warriors,92,20787.0,,
2019-10-27T18:00:00,Sunday,Memphis Grizzlies,134,Brooklyn Nets,133,20787.0,OT,
2019-10-27T19:00:00,Sunday,Dallas Mavericks,119,Portland Trail Blazers,121,20787.0,,
2019-10-27T19:00:00,Sunday,Minnesota Timberwolves,116,Miami Heat,109,20787.0,,
2019-10-27T21:30:00,Sunday,Los Angeles Lakers,120,Charlotte Hornets,101,20787.0,,
2019-10-28T19:00:00,Monday,New York Knicks,105,Chicago Bulls,98,20787.0,,
2019-10-28T19:00:00,Monday,Detroit Pistons,96,Indiana Pacers,94,20787.0,,
2019-10-28T19:30:00,Monday,Toronto Raptors,104,Orlando Magic,95,20787.0,,
2019-10-28T19:30:00,Monday,Atlanta Hawks,103,Philadelphia 76ers,105,20787.0,,
2019-10-28T20:00:00,Monday,Houston Rockets,116,Oklahoma City Thunder,112,20787.0,,
2019-10-28T20:00:00,Monday,Milwaukee Bucks,129,Cleveland Cavaliers,112,20787.0,,
2019-10-28T20:00:00,Monday,New Orleans Pelicans,123,Golden State Warriors,134,20787.0,,
2019-10-28T20:30:00,Monday,San Antonio Spurs,113,Portland Trail Blazers,110,20787.0,,
2019-10-28T22:00:00,Monday,Phoenix Suns,95,Utah Jazz,96,20787.0,,
2019-10-28T22:00:00,Monday,Sacramento Kings,94,Denver Nuggets,101,20787.0,,
2019-10-28T22:30:00,Monday,Los Angeles Clippers,111,Charlotte Hornets,96,20787.0,,
2019-10-29T19:30:00,Tuesday,Miami Heat,112,Atlanta Hawks,97,20787.0,,
2019-10-29T21:00:00,Tuesday,Denver Nuggets,106,Dallas Mavericks,109,20787.0,,
2019-10-29T22:30:00,Tuesday,Los Angeles Lakers,120,Memphis Grizzlies,91,20787.0,,
2019-10-30T19:00:00,Wednesday,Cleveland Cavaliers,117,Chicago Bulls,111,20787.0,,
2019-10-30T19:00:00,Wednesday,Orlando Magic,95,New York Knicks,83,20787.0,,
2019-10-30T19:00:00,Wednesday,Philadelphia 76ers,117,Minnesota Timberwolves,95,20787.0,,
2019-10-30T19:30:00,Wednesday,Boston Celtics,116,Milwaukee Bucks,105,20787.0,,
2019-10-30T19:30:00,Wednesday,Brooklyn Nets,108,Indiana Pacers,118,20787.0,,
2019-10-30T19:30:00,Wednesday,Toronto Raptors,125,Detroit Pistons,113,20787.0,,
2019-10-30T20:00:00,Wednesday,Washington Wizards,158,Houston Rockets,159,20787.0,,
2019-10-30T20:00:00,Wednesday,Oklahoma City Thunder,99,Portland Trail Blazers,102,20787.0,,
2019-10-30T22:00:00,Wednesday,Sacramento Kings,111,Charlotte Hornets,118,20787.0,,
2019-10-30T22:00:00,Wednesday,Utah Jazz,110,Los Angeles Clippers,96,20787.0,,
2019-10-30T22:30:00,Wednesday,Golden State Warriors,110,Phoenix Suns,121,20787.0,,
2019-10-31T19:00:00,Thursday,Atlanta Hawks,97,Miami Heat,106,20787.0,,
2019-10-31T21:30:00,Thursday,New Orleans Pelicans,122,Denver Nuggets,107,20787.0,,
2019-10-31T22:30:00,Thursday,Los Angeles Clippers,103,San Antonio Spurs,97,20787.0,,
2019-11-01T19:00:00,Friday,Orlando Magic,91,Milwaukee Bucks,123,17732.0,,
2019-11-01T19:00:00,Friday,Indiana Pacers,102,Cleveland Cavaliers,95,17732.0,,
2019-11-01T19:00:00,Friday,Brooklyn Nets,123,Houston Rockets,116,17732.0,,
2019-11-01T19:30:00,Friday,Boston Celtics,104,New York Knicks,102,17732.0,,
2019-11-01T20:00:00,Friday,Chicago Bulls,112,Detroit Pistons,106,17732.0,,
2019-11-01T21:30:00,Friday,Dallas Mavericks,110,Los Angeles Lakers,119,17732.0,OT,
2019-11-01T22:00:00,Friday,Sacramento Kings,102,Utah Jazz,101,17732.0,,
2019-11-01T22:30:00,Friday,Golden State Warriors,110,San Antonio Spurs,127,17732.0,,
2019-11-02T17:00:00,Saturday,Oklahoma City Thunder,115,New Orleans Pelicans,104,17732.0,,
2019-11-02T19:00:00,Saturday,Orlando Magic,87,Denver Nuggets,91,17732.0,,
2019-11-02T19:00:00,Saturday,Detroit Pistons,113,Brooklyn Nets,109,17732.0,,
2019-11-02T20:00:00,Saturday,Memphis Grizzlies,105,Phoenix Suns,114,17732.0,,
2019-11-02T20:00:00,Saturday,Milwaukee Bucks,115,Toronto Raptors,105,17732.0,,
2019-11-02T20:00:00,Saturday,Washington Wizards,109,Minnesota Timberwolves,131,17732.0,,
2019-11-02T20:30:00,Saturday,Golden State Warriors,87,Charlotte Hornets,93,17732.0,,
2019-11-02T22:00:00,Saturday,Portland Trail Blazers,128,Philadelphia 76ers,129,17732.0,,
2019-11-03T17:00:00,Sunday,Indiana Pacers,108,Chicago Bulls,95,17732.0,,
2019-11-03T18:00:00,Sunday,Miami Heat,129,Houston Rockets,100,17732.0,,
2019-11-03T18:00:00,Sunday,New York Knicks,92,Sacramento Kings,113,17732.0,,
2019-11-03T19:00:00,Sunday,San Antonio Spurs,96,Los Angeles Lakers,103,17732.0,,
2019-11-03T19:30:00,Sunday,Cleveland Cavaliers,111,Dallas Mavericks,131,17732.0,,
2019-11-03T21:00:00,Sunday,Los Angeles Clippers,105,Utah Jazz,94,17732.0,,
2019-11-04T19:00:00,Monday,Washington Wizards,115,Detroit Pistons,99,17732.0,,
