date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
2019-10-22T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Jrue Holiday,Starter,41.68333333333333,6,15,0.4,1,6,0.167,0,2,0.0,2,2,4,6,0,2,5,2,13,-14.0
2019-10-22T20:00:00,Toronto Raptors Basic and Advanced Stats Table,Terence Davis,Reserve,15.25,2,6,0.333,1,3,0.333,0,0,,2,3,5,2,2,0,0,2,5,0.0
2019-10-22T20:00:00,Toronto Raptors Basic and Advanced Stats Table,Serge Ibaka,Reserve,26.433333333333334,4,10,0.4,0,1,0.0,5,6,0.833,2,3,5,0,1,0,3,2,13,6.0
2019-10-22T20:00:00,Toronto Raptors Basic and Advanced Stats Table,Norman Powell,Reserve,28.466666666666665,2,7,0.286,1,5,0.2,0,0,,1,7,8,2,0,0,2,2,5,2.0
2019-10-22T20:00:00,Toronto Raptors Basic and Advanced Stats Table,Marc Gasol,Starter,31.516666666666666,2,9,0.222,1,4,0.25,1,1,1.0,1,3,4,1,0,0,0,5,6,-2.0
2019-10-22T20:00:00,Toronto Raptors Basic and Advanced Stats Table,OG Anunoby,Starter,35.583333333333336,5,12,0.417,1,4,0.25,0,1,0.0,3,4,7,0,0,2,1,3,11,12.0
2019-10-22T20:00:00,Toronto Raptors Basic and Advanced Stats Table,Fred VanVleet,Starter,44.73333333333333,12,18,0.667,5,7,0.714,5,6,0.833,0,5,5,7,2,0,2,0,34,18.0
2019-10-22T20:00:00,Toronto Raptors Basic and Advanced Stats Table,Kyle Lowry,Starter,44.73333333333333,4,15,0.267,3,11,0.273,11,13,0.846,1,4,5,6,2,0,4,4,22,-1.0
2019-10-22T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Nickeil Alexander-Walker,Reserve,11.183333333333334,1,10,0.1,1,7,0.143,0,0,,1,3,4,2,2,0,1,2,3,6.0
2019-10-22T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,E'Twaun Moore,Reserve,12.2,2,7,0.286,1,3,0.333,0,0,,1,2,3,2,0,0,0,0,5,-1.0
2019-10-22T20:00:00,Toronto Raptors Basic and Advanced Stats Table,Pascal Siakam,Starter,38.63333333333333,11,26,0.423,2,5,0.4,10,11,0.909,6,12,18,5,0,1,4,6,34,5.0
2019-10-22T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Frank Jackson,Reserve,13.216666666666669,3,6,0.5,1,3,0.333,2,2,1.0,0,0,0,1,0,0,1,3,9,7.0
2019-10-22T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Jahlil Okafor,Reserve,12.2,3,3,1.0,0,0,,2,3,0.667,2,0,2,0,0,1,1,3,8,-7.0
2019-10-22T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,J.J. Redick,Starter,27.45,6,9,0.667,4,6,0.667,0,0,,0,2,2,1,0,0,3,3,16,-14.0
2019-10-22T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Lonzo Ball,Starter,24.4,2,7,0.286,2,3,0.667,2,2,1.0,0,5,5,5,0,0,1,2,8,-7.0
2019-10-22T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Derrick Favors,Starter,20.33333333333333,3,6,0.5,0,0,,0,0,,1,6,7,2,0,1,1,5,6,-12.0
