home_team,home_price,home_point,home_win_prob,away_team,away_price,away_point,away_win_prob
Charlotte Hornets,1.94,3.5,0.5154639175257733,Miami Heat,1.88,-3.5,0.5319148936170213
Cleveland Cavaliers,1.93,1.5,0.5181347150259068,Orlando Magic,1.89,-1.5,0.5291005291005292
Detroit Pistons,1.89,7.5,0.5291005291005292,Indiana Pacers,1.93,-7.5,0.5181347150259068
Philadelphia 76ers,1.88,-12.0,0.5319148936170213,Washington Wizards,1.94,12.0,0.5154639175257733
Atlanta Hawks,1.94,2.5,0.5154639175257733,Denver Nuggets,1.88,-2.5,0.5319148936170213
New York Knicks,1.94,-4.5,0.5154639175257733,Toronto Raptors,1.88,4.5,0.5319148936170213
Chicago Bulls,1.88,11.5,0.5319148936170213,Milwaukee Bucks,1.94,-11.5,0.5154639175257733
Dallas Mavericks,1.88,-1.5,0.5319148936170213,Memphis Grizzlies,1.94,1.5,0.5154639175257733
Houston Rockets,1.91,-8.5,0.5235602094240838,San Antonio Spurs,1.91,8.5,0.5235602094240838
Minnesota Timberwolves,1.91,3.5,0.5235602094240838,New Orleans Pelicans,1.91,-3.5,0.5235602094240838
Oklahoma City Thunder,1.93,-12.5,0.5181347150259068,Utah Jazz,1.89,12.5,0.5291005291005292
Brooklyn Nets,1.94,4.5,0.5154639175257733,Sacramento Kings,1.88,-4.5,0.5319148936170213
Los Angeles Clippers,1.91,-13.0,0.5235602094240838,Portland Trail Blazers,1.91,13.0,0.5235602094240838
